Id kategorie;Název kategorie;Maximální cena za proklik
441;Dìtské zboí/Pøeprava dìtí/Klokanky, krosny a nosièe dìtí;
446;Auto-moto/Disky/Alu kola;
447;Auto-moto/Disky/Plechová kola;
450;Auto-moto/Pneumatiky/Osobní pneu/Letní osobní pneu;
451;Auto-moto/Pneumatiky/Osobní pneu/Zimní osobní pneu;
452;Auto-moto/Pneumatiky/Dodávkové a nákladní pneu;
453;Auto-moto/Pneumatiky/Motopneu a motoduše;
454;Auto-moto/Pneumatiky/4x4 pneu;
456;Auto-moto/Støešní nosièe a boxy/Støešní boxy;
457;Auto-moto/Støešní nosièe a boxy/Nosièe kol;
458;Auto-moto/Støešní nosièe a boxy/Nosièe lyí;
459;Auto-moto/Støešní nosièe a boxy/Nosièe pro vodní sporty;
460;Auto-moto/Tuning;
464;Sport/Cyklistika/Jízdní kola/Horská kola;
465;Sport/Cyklistika/Jízdní kola/Silnièní kola;
466;Sport/Cyklistika/Jízdní kola/Krosová a trekingová kola;
467;Sport/Cyklistika/Jízdní kola/Dìtská kola;
468;Sport/Cyklistika/Jízdní kola/BMX, freestyle, street, dirt kola;
470;Sport/Cyklistika/Kolobìky;
475;Sport/Cyklistika/Pøíslušenství pro cyklistiku/Hustilky;
476;Sport/Cyklistika/Pøíslušenství pro cyklistiku/Nosièe a stojánky na kolo;
477;Sport/Cyklistika/Pøíslušenství pro cyklistiku/Zámky na kola;
478;Sport/Cyklistika/Pøíslušenství pro cyklistiku/Cyklistické pøilby;
479;Sport/Cyklistika/Pøíslušenství pro cyklistiku/Tachometry;
480;Sport/Cyklistika/Pøíslušenství pro cyklistiku/Cyklistické brašny;
481;Sport/Cyklistika/Pøíslušenství pro cyklistiku/Cyklosvítilny;
483;Sport/Cyklistika/Dìtské sedaèky a vozíky;
489;Sport/Fitness/Kardio stroje/Bìecké pásy;
490;Sport/Fitness/Kardio stroje/Cyklotrenaéry;
491;Sport/Fitness/Èinky a závaí;
492;Sport/Fitness/Kardio stroje/Eliptické trenaéry;
493;Sport/Fitness/Fitness pomùcky/Gymnastické míèe;
494;Sport/Fitness/Posilovací stroje a lavice/Posilovací lavice;
495;Sport/Fitness/Fitness pomùcky/Posilovací Powerbally;
496;Sport/Fitness/Posilovací stroje a lavice/Posilovací vìe;
497;Sport/Fitness/Kardio stroje/Rotopedy a ergometry;
500;Sport/Fitness/Kardio stroje/Steppery;
501;Sport/Fitness/Fitness pomùcky/Trampolíny;
502;Sport/Fitness/Posilovací stroje a lavice/Veslovací trenaéry;
503;Sport/Sportovní odìvy, obuv a doplòky/Sportovní mìøièe/Krokomìry;
505;Sport/Míèové sporty/Golf/Golfové bagy;
506;Sport/Míèové sporty/Golf/Golfové rukavice;
507;Sport/Míèové sporty/Golf/Golfové hole;
508;Sport/Míèové sporty/Golf/Golfové míèky;
